ID,ADDRESS,LATITUDE,LONGITUDE,geometry
190,Market Square / King St & Royal St,38.804718,-77.043363,"c(-77.0433652913336, 38.8047257671559)"
191,Saint Asaph St & Pendleton  St,38.810743,-77.044664,"c(-77.0446662918969, 38.8107507687549)"
192,King St & Patrick St,38.805317,-77.049883,"c(-77.0498852931865, 38.8053247671568)"
193,15th & K St NW,38.902,-77.03353,"c(-77.0335322942701, 38.9020077873359)"
194,Commerce St & Fayette St,38.805648,-77.05293,"c(-77.0529322945784, 38.8056557672413)"
195,Henry St & Pendleton St,38.811456,-77.050276,"c(-77.0502782941505, 38.8114637681766)"
196,Braddock Rd Metro,38.814577,-77.052808,"c(-77.0528102949821, 38.8145847687293)"
197,King St Metro South,38.805763,-77.060627,"c(-77.0606292968174, 38.8057707666395)"
198,24th & N St NW,38.9066,-77.05152,"c(-77.0515222999598, 38.9066077877649)"
199,10th & E St NW,38.895914,-77.026064,"c(-77.0260662914142, 38.8959217865244)"
200,22nd & I St NW / Foggy Bottom,38.90088,-77.048911,"c(-77.0489132988203, 38.9008877865112)"
201,Utah St & 11th St N,38.883669,-77.113905,"c(-77.1139073182905, 38.8836767804302)"
202,Barton St & 10th St N,38.884961,-77.08777,"c(-77.0877723099657, 38.8849687816217)"
203,Arlington Blvd & N Queen St,38.889365,-77.077294,"c(-77.0772963069051, 38.8893727831944)"
204,Lincoln Memorial,38.888251,-77.049426,"c(-77.0494282981393, 38.8882587838255)"
206,20th St & Virginia Ave NW,38.894722,-77.045128,"c(-77.0451302975059, 38.894729785661)"
207,5th St & Massachusetts Ave NW,38.90093,-77.018677,"c(-77.0186792890832, 38.9009377877554)"
208,39th & Veazey St NW,38.943837,-77.077078,"c(-77.0770803104091, 38.9438447943544)"
209,Fessenden St & Wisconsin Ave NW,38.954812,-77.082426,"c(-77.0824283126706, 38.9548197960161)"
210,3rd & M St NE,38.90547,-77.00213,"c(-77.0021322843742, 38.9054777894456)"
211,Columbia Pike & S Courthouse Rd,38.863833,-77.080319,"c(-77.0803213061551, 38.8638407780837)"
212,Walter Reed Dr & 16th St S,38.857803,-77.086733,"c(-77.0867353081336, 38.857810776474)"
213,28th St & S Meade St,38.846222,-77.069275,"c(-77.0692773020915, 38.8462297748457)"
214,18th St & Wyoming Ave NW,38.918809,-77.041571,"c(-77.0415732974876, 38.9188167901769)"
215,5th & Kennedy St NW,38.956556,-77.019814,"c(-77.0198162931676, 38.9565637985802)"
216,Georgia Ave & Emerson St NW,38.949662,-77.027333,"c(-77.027335295014, 38.9496697973157)"
217,14th & Upshur St NW,38.942475,-77.032678,"c(-77.0326802963644, 38.942482795549)"
218,14th St & Colorado Ave NW,38.956432,-77.032947,"c(-77.0329492970035, 38.9564397981107)"
219,Troy St & 26th St S,38.847977,-77.075104,"c(-77.075106303463, 38.8479847748937)"
220,Four Mile Run Dr & S Shirlington Rd,38.8444,-77.085931,"c(-77.0859333070928, 38.8444077737922)"
221,Columbia Pike & S Oakland St,38.860789,-77.09586,"c(-77.0958623112822, 38.8607967769023)"
222,Four Mile Run Dr & S Walter Reed Dr,38.84736,-77.095431,"c(-77.0954333103837, 38.8473677742145)"
223,S Arlington Mill Dr & Campbell Ave,38.84232,-77.089555,"c(-77.0895573078178, 38.8423277733202)"
224,Kenmore St & 24th St S,38.848454,-77.084918,"c(-77.0849203067738, 38.8484617745153)"
225,13th St & Eastern Ave,38.987,-77.029417,"c(-77.0294192977998, 38.9870078043389)"
226,Wisconsin Ave & O St NW,38.90849,-77.063586,"c(-77.0635883041223, 38.9084977877015)"
227,Roosevelt Island,38.896553,-77.06714,"c(-77.0671423045085, 38.8965607849005)"
228,Connecticut & Nebraska Ave NW,38.955016,-77.069956,"c(-77.0699583088133, 38.9550237964976)"
229,17th St & Massachusetts Ave NW,38.908142,-77.038359,"c(-77.0383612956958, 38.9081497886087)"
230,15th & Euclid St  NW,38.92333,-77.0352,"c(-77.035202296202, 38.9233377913243)"
231,8th & East Capitol St NE,38.889988,-76.995193,"c(-76.9951952810712, 38.8899957862288)"
232,New Jersey Ave & R St NW,38.912659,-77.017669,"c(-77.0176712901252, 38.9126667901864)"
233,15th & East Capitol St NE,38.889908,-76.983326,"c(-76.9833282777644, 38.8899157866186)"
234,8th & F St NE,38.897274,-76.994749,"c(-76.9947512817612, 38.8972817878697)"
235,18th St & Rhode Island Ave NE,38.927095,-76.978924,"c(-76.9789262788058, 38.9271027945511)"
236,15th & F St NE,38.897195,-76.983575,"c(-76.9835772781896, 38.8972027881529)"
237,12th & Irving St NE,38.928644,-76.990955,"c(-76.9909572826548, 38.9286517944157)"
239,Alabama & MLK Ave SE,38.84323,-76.999376,"c(-76.9993782798622, 38.8432377768791)"
240,Pleasant St & MLK Ave SE,38.863897,-76.990037,"c(-76.9900392783959, 38.8639047810603)"
241,Neal St & Trinidad Ave NE,38.903732,-76.987211,"c(-76.98721327971, 38.9037397894728)"
242,12th & U St NW,38.916787,-77.028139,"c(-77.0281412936146, 38.9167947906925)"
243,S George Mason & Four Mile Run Dr,38.852248,-77.105022,"c(-77.105024313251, 38.8522557748952)"
244,Gravelly Point,38.865029,-77.039511,"c(-77.0395132936807, 38.8650367795226)"
245,Pershing Dr & Wayne St,38.880705,-77.08596,"c(-77.0859623090303, 38.880712781102)"
246,Columbia Pike & S Orme St,38.867262,-77.072315,"c(-77.0723173039258, 38.867269778632)"
247,3rd St & Pennsylvania Ave SE,38.887378,-77.001955,"c(-77.0019572832402, 38.8873857854851)"
248,8th & D St NW,38.894851,-77.02324,"c(-77.023242290106, 38.8948587865297)"
249,3rd & Elm St NW,38.917622,-77.01597,"c(-77.0159722897604, 38.9176297911222)"
250,Rhode Island Ave & V St NE,38.918155,-77.004746,"c(-77.0047482863492, 38.918162791453)"
251,Constitution Ave & 2nd St NW/DOL,38.892275,-77.013917,"c(-77.0139192870522, 38.892282786149)"
252,Washington & Independence Ave SW/HHS,38.886978,-77.013769,"c(-77.0137712871795, 38.886985785137)"
253,Independence Ave & L'Enfant Plaza SW/DOE,38.887312,-77.025762,"c(-77.0257642906252, 38.8873197847198)"
254,Hamlin & 7th St NE,38.927497,-76.997194,"c(-76.9971962846107, 38.9275047936303)"
255,Columbia Pike & S Walter Reed Dr,38.862478,-77.086599,"c(-77.0866013080694, 38.8624857774637)"
256,Arlington Mill Cmty Center / Columbia Pike & S Dinwiddie St,38.856319,-77.11153,"c(-77.1115323152591, 38.8563267753162)"
257,Pershing Dr & N George Mason Dr,38.871822,-77.107906,"c(-77.107908315768, 38.871829778273)"
258,Fenton St & New York Ave,38.985404,-77.023082,"c(-77.023084296252, 38.9854118046436)"
259,Bethesda Ave & Arlington Rd,38.981103,-77.097426,"c(-77.0974283185714, 38.9811108007185)"
260,Montgomery Ave & Waverly St,38.983838,-77.09221,"c(-77.0922123172666, 38.9838458017742)"
261,Fallsgrove Blvd & Fallsgrove Dr,39.096312,-77.192672,"c(-77.1926743557834, 39.096319820296)"
262,Traville Gateway Dr & Gudelsky Dr,39.093783,-77.202501,"c(-77.2025033585416, 39.0937908195606)"
38,Nannie Helen Burroughs & Minnesota Ave NE,38.901385,-76.941877,"c(-76.9418792653053, 38.9013927906203)"
39,Anacostia Metro,38.862669,-76.994637,"c(-76.994639279434, 38.8626767810857)"
40,Good Hope Rd & MLK Ave SE,38.867373,-76.988039,"c(-76.9880412775375, 38.8673807818185)"
41,19th & E Street NW,38.8952,-77.0436,"c(-77.043602297165, 38.8952077853896)"
42,4th & W St NE,38.919077,-77.000648,"c(-77.0006502849956, 38.9190847919003)"
43,10th & U St NW,38.9172,-77.0259,"c(-77.0259022928758, 38.9172077904866)"
44,Georgia Ave and Fairmont St NW,38.9249,-77.0222,"c(-77.0222022916719, 38.9249077921202)"
